subject,relation,object
大姚石羊古镇,位于,楚雄
禄丰金山古镇景区,位于,楚雄
镇沅无量湿地公园,位于,普洱
地热国,位于,大理
丙中洛,位于,怒江
那耶村,位于,文山
元谋人博物馆,位于,楚雄
嵩明县兰茂纪念馆,位于,昆明
独树成林,位于,德宏
红河石屏龙韵养生谷,位于,红河
中和银杏林,位于,保山
保山佳新温泉度假村,位于,隆阳
嵩明百花箐山谷景区,位于,昆明
飞来寺,位于,昆明
腾冲银杏村,位于,保山
杜鹃湖景区,位于,普洱
苍山,位于,大理
邦腊掌温泉度假区,位于,保山
祥云水目山,位于,大理
北庙湖景区,位于,保山
洱源西湖,位于,大理
曲靖金麟湾温泉,位于,曲靖
云花谷,位于,五华
大理洱海生态廊道,位于,大理
大地湖畔,位于,西畴县
沾益珠江源,位于,曲靖
云南省茶文化博物馆,位于,五华
新亚洲体育城,位于,昆明
万家欢蓝莓庄园,位于,昆明
滇重楼庄园,位于,临沧
云南师范大学一二一纪念馆,位于,昆明
洱海游船,位于,大理
喃呢热带温泉,位于,西双版纳
紫溪山,位于,楚雄
勐卧双塔国家3级旅游景区,位于,普洱
大理马耳山生态旅游景区,位于,大理
师宗菌子山,位于,曲靖
普洱市美术馆,位于,普洱
滇金丝猴国家公园,位于,迪庆
华坪县博物馆,位于,华坪县
知花小镇,位于,开远
中国共产党云南第一次代表大会会址,位于,红河
石榴公园,位于,红河哈尼族
大观公园,位于,昆明
邦佑瀑布群,位于,临沧
泸西青龙山,位于,红河
元阳哈尼小镇,位于,红河
太平湖,位于,红河
滇西土司文化博物馆,位于,德宏
东巴谷,位于,丽江
独龙江,位于,怒江
犀鸟谷,位于,德宏
金麟湾爱情小镇,位于,曲靖
秀美茶园,位于,临沧
昆明市博物馆,位于,昆明
西鲁温泉,位于,迪庆
李根源旧居,位于,腾冲
云南民族大观园,位于,昆明
自耕农庄,位于,西山
界鱼石公园,位于,玉溪
景东县博物馆,位于,普洱
启迪科学家小镇,位于,保山
轿子雪山,位于,昆明
昆明海丽宾雅温泉度假酒店,位于,昆明
嘉丽泽度假区,位于,昆明
玉峰寺,位于,丽江
石屏郑营村,位于,红河
滇池度假区海埂大坝,位于,昆明
勐巴娜西珍奇园,位于,德宏
桃花岛,位于,临沧
文山广南句町古国,位于,文山
楚雄州博物馆,位于,楚雄
水富西部大峡谷温泉,位于,昭通
黑河老坡,位于,德宏
西双版纳民族博物馆,位于,西双版纳
红河开远南洞凤凰谷旅游区,位于,红河
联大往事,位于,昆明
罗平县相石阶景区,位于,曲靖
昆明柏联温泉,位于,昆明
萌宠科普乐园,位于,昆明
中科院热带植物园,位于,西双版纳
腾冲文庙,位于,保山
红色大文旅游区,位于,双江县
元江红河谷热海,位于,玉溪
丽江东巴万神园,位于,丽江
国际高原花海旅游度假区,位于,曲靖
曲靖218欢乐世界景区,位于,曲靖
彝人谷竹海景区,位于,玉溪
双江冰岛湖,位于,临沧
宣威市衡威益群博物馆,位于,曲靖
秋雨书院,位于,红河
大理古城南门叠翠园直通车,位于,大理
中共地下党党建旧址,位于,昆明
迪庆藏刀卡卓,位于,迪庆
斗南湿地公园,位于,昆明
豆沙镇五尺道景区,位于,昭通
楚雄州火把节,位于,楚雄
高黎贡山茶博园,位于,保山
碗窑村,位于,玉溪
玉溪市聂耳纪念馆,位于,红塔
昆明自来水历史博物馆,位于,昆明
香巴拉时轮坛城文化博览中心,位于,迪庆
碗窑村,位于,华宁县
乌铜走银传习馆,位于,昆明
南诏风情岛,位于,大理
我的闻先生,位于,昆明
太阳历文化园,位于,楚雄
澜沧县博物馆,位于,澜沧县
曲靖外滩,位于,曲靖
丽江猎鹰谷,位于,玉龙县
元谋浪巴铺土林,位于,元谋县
云南皓珺博物馆,位于,西山
西河公园,位于,曲靖
磐松手作陶艺工作室,位于,建水县
曲靖218欢乐世界,位于,麒麟
龙江特大桥,位于,保山
天龙八部影视城,位于,大理
雨林谷,位于,西双版纳
新华银器小镇,位于,大理
老姆登景区,位于,怒江
元谋红军馆,位于,楚雄
仙湖湾景区,位于,玉溪
南涧彝族自治县博物馆,位于,大理
农村电影历史博物馆,位于,大理
曲靖德康斑铜传习所,位于,曲靖
白云洞景区,位于,昆明
云南起义馆,位于,五华
勐泐文化旅游区,位于,西双版纳
马龙红石庄园,位于,曲靖
诺邓景区,位于,大理
勐远仙境景区,位于,西双版纳
大理市博物馆,位于,大理
孟连县民族历史博物馆,位于,普洱
邵梅罕傣族剪纸馆,位于,德宏
瑞荷园,位于,临沧
禄丰县恐龙博物馆,位于,楚雄
红河水乡,位于,红河
墨江北回归线标志园,位于,普洱
太保山公园,位于,保山
昆明斗南花市送机,位于,昆明
香格里拉圣域天香牦牛文化传播中心,位于,迪庆
洞山温泉村,位于,保山
葫芦王地,位于,临沧
锦鲤祠国风摄影馆,位于,昆明
普洱市镇沅博物馆,位于,镇沅县
云南国际智慧旅游大会,位于,官渡
普洱天士力帝泊洱生物茶谷,位于,普洱
芒团造纸传习馆,位于,临沧
梅里雪山,位于,迪庆
彝人古镇,位于,楚雄
黑龙潭,位于,丽江
荷花温泉,位于,保山
黑龙潭公园,位于,昆明
姐告区,位于,德宏
经典假日谷,位于,昆明
小草坝生态旅游景区,位于,昭通
元谋土林,位于,楚雄
五百里音乐节,位于,昆明
曼听御花园,位于,西双版纳
凤凰生态公园,位于,红河
紫溪湿地,位于,曲靖
永德忙海湖,位于,临沧
宜良汤池热水河温泉,位于,昆明
右甸河公园,位于,保山
娲女神泉富硒谷,位于,保山
昆明动物博物馆,位于,五华
瑷珲公园,位于,保山
鸡足山,位于,大理
威信县扎西红色小镇,位于,昭通
江城县勐桑洛小镇,位于,普洱
普洱茶马古道旅游景区,位于,普洱
团山民居,位于,红河
腾冲火山热海,位于,保山
金殿景区,位于,昆明
来冷红景区,位于,临沧
西双版纳傣族自治州民族博物馆,位于,西双版纳
双创小镇,位于,昆明
北海湿地,位于,保山
勐景来,位于,西双版纳
玉龙雪山景区,位于,丽江
六祖分支景区,位于,昭通
旺腊小孔雀传承基地,位于,德宏
大姚西河印象景区,位于,楚雄
和顺古镇景区,位于,保山
永平县博南古道博物馆,位于,大理
云南大润丁少数民族服装服饰博物馆,位于,盘龙
环湖车,位于,丽江
云南旅游咨询服务中心,位于,官渡
斗南花卉小镇,位于,昆明
澜沧江漂流,位于,西双版纳
香巴拉时轮坛城景区,位于,迪庆
东巴王国景区,位于,丽江
罗古箐景区,位于,怒江
豆沙关五尺道,位于,昭通
石宝山沙溪古镇,位于,大理
国际双胞文化园,位于,普洱
熊庆来李广田旧居陈列馆,位于,五华
昆明动物博物馆,位于,昆明
翁丁,位于,临沧
龙陵抗日战争纪念馆,位于,龙陵县
武定狮子山,位于,楚雄
红河锦屏后海,位于,红河
三股水景区,位于,丽江
盛水湾,位于,曲靖
星球玩创乐园,位于,昆明
临沧工业园区,位于,临沧
袁嘉谷纪念馆,位于,红河
昙华山,位于,楚雄
大理非物质文化遗产博物馆,位于,大理
古滇精品湿地,位于,昆明
恐龙谷,位于,楚雄
金方森林温泉,位于,昆明
高山植物园,位于,迪庆
寻甸石板河风景区,位于,昆明
长水机场专人服务贵宾休息室,位于,官渡
元谋凤凰湖公园,位于,楚雄
凤山公园,位于,玉溪
喊沙孔雀舞传承基地,位于,德宏
建水县蚁工坊,位于,红河
瑞丽旅游淘宝谷景区,位于,德宏
大关黄连河景区,位于,昭通
东风韵,位于,红河
陇西世族庄园,位于,玉溪
龙泉公园,位于,玉溪
公弄景区,位于,临沧
滇中健康城文化旅游景区,位于,曲靖
白水台景区,位于,迪庆
白沙壁画,位于,丽江
大理市非遗博物馆,位于,大理
金塔,位于,丽江
澄江化石地世界自然遗产博物馆,位于,玉溪
杨升庵纪念馆,位于,昆明
兵器房车温泉中心,位于,昆明
腾云,位于,西山
罗平多依河,位于,曲靖
昆明安宁东湖风光,位于,昆明
红河州博物馆,位于,红河
诗蜜娃底,位于,德宏
丽江玉龙雪山国际高尔夫俱乐部,位于,玉龙县
句町古国,位于,文山
虎跳峡,位于,迪庆
西山风景区,位于,昆明
五华区博物总馆,位于,昆明
戛洒特色小镇,位于,玉溪
江城县勐烈湖湿地公园,位于,普洱
云南华侨城温泉水公园,位于,昆明
广龙小镇,位于,玉溪
玉溪市博物馆,位于,玉溪
云南古滇翡翠博物馆,位于,昆明
王牌御鼠游乐园,位于,昆明
澜沧县拉祜风情园,位于,普洱
师宗县博物馆,位于,曲靖
昆明老街,位于,昆明
昆明景区直通车,位于,昆明
勐捧岔沟景区,位于,临沧
陆良彩色沙林,位于,曲靖
马龙区博物馆,位于,曲靖
沧源碧丽源,位于,临沧
轿子仙宫,位于,昆明
普者黑,位于,文山
凤家古镇,位于,昆明
傣族园,位于,西双版纳
南美旅游度假区,位于,临沧
普洱市文化馆,位于,普洱
昆明花都海洋世界,位于,昆明
喜洲严家大院博物馆,位于,大理
漠沙大沐浴,位于,玉溪
白马箐露营基地,位于,昆明
太阳岛,位于,曲靖
南洋华侨机工回国抗日纪念馆,位于,德宏
抚海湾景区,位于,玉溪
红河建水学政考棚,位于,红河
双江荣康达,位于,临沧
锦屏山,位于,红河
驮娘江,位于,文山
傣族慢轮制陶技艺传习所,位于,西双版纳
松赞林景区,位于,迪庆
银塔,位于,德宏
嘎多月亮古寨,位于,临沧
大理夏夜星空花卉博览园,位于,大理
寻甸县柯渡红军长征纪念馆,位于,寻甸县
通海秀山公园,位于,玉溪
三台山公园,位于,昆明
塔城热巴传习中心,位于,迪庆
楚雄摩尔梦工厂工业旅游观光园,位于,楚雄
香格里拉呀啦嗦,位于,迪庆
安宁市博物馆,位于,昆明
大海草山国际滑雪度假区,位于,曲靖
西浦公园,位于,玉溪
永子文化园,位于,保山
建水文庙,位于,红河
宜良岩泉禅寺,位于,昆明
程海,位于,丽江
云南陶韵建水陶博物馆,位于,盘龙
丽江木府,位于,丽江
毛家湾景区,位于,丽江
奶思碧水蓝天景区,位于,迪庆
勐海大益馆,位于,西双版纳
巍山南诏博物馆,位于,大理
悦椿温泉村,位于,保山
咖啡旅游园区,位于,德宏
泸西县博物馆,位于,红河
红河石屏焕文公园,位于,红河
官渡古镇,位于,昆明
永胜县边屯文化博物馆,位于,永胜县
平安福湿地公园,位于,昆明
丽江市博物院,位于,古城
银杏村,位于,保山
三川翠湖,位于,丽江
寥廓公园,位于,曲靖
香格里拉茶马古道博物馆,位于,迪庆
红酒庄,位于,红河
曲靖市博物馆,位于,曲靖
上关花景区,位于,大理
云南起义纪念馆,位于,昆明
春城湖畔度假村,位于,昆明
金江镇龙潭公园,位于,迪庆
云南临安府署,位于,红河
昆明龙润大龙潭生态休闲园,位于,昆明
彝族花灯黑泥地社区传习所,位于,红河
昆明理工大学地学博物馆,位于,昆明
云南昆明规划馆,位于,昆明
梦幻腾冲,位于,保山
大理白族自治州非物质文化遗产博物馆,位于,大理
长湖,位于,昆明
龙氏家祠,位于,昭通
罗荃半岛,位于,大理
片马抗英驼峰航线纪念馆,位于,怒江
昆明朱德旧居纪念馆,位于,昆明
永德大雪山生态旅游区,位于,临沧
大理州博物馆景区,位于,大理
玉龙湾公园,位于,昆明
保山市博物馆,位于,保山
汇龙生态园,位于,玉溪
牟定化佛山,位于,楚雄
仁里花语牧场,位于,大理
观景台,位于,临沧
东川红土地,位于,昆明
玉溪古滇国文化园,位于,玉溪
昆明热雪奇迹,位于,昆明
天龙八部国际旅行社,位于,大理
云南民族博物馆,位于,西山
蝴蝶泉,位于,大理
三大芭蕾经典音乐会纪念柴可夫斯基诞辰180周年,位于,昆明
石屏古城,位于,石屏县
阿庐古洞,位于,红河
凤庆古墨村,位于,临沧
独树成林景区,位于,西双版纳
西门公园,位于,临沧
云海芳草,位于,大理
高速服务区评价,位于,昆明
大益庄园,位于,西双版纳
丽江千古情演出,位于,丽江
宣威市博物馆,位于,曲靖
富宁革命纪念馆,位于,文山
百里长湖景区,位于,临沧
屏边大围山,位于,红河
永平宝台山,位于,大理
昆明市昙华寺公园,位于,昆明
鸟王山风景区,位于,文山
沙溪古镇,位于,大理
沧源崖画谷,位于,临沧
古滇温泉山庄,位于,昆明
大理苍山世界地质公园博物馆,位于,大理
滇红第一村,位于,凤庆县
十里花溪阳塘曲景区,位于,迪庆
临沧头道水酒谷农耕文化园景区,位于,临沧
大理千狮山景区,位于,大理
苍山洗马潭大索道,位于,大理
师宗凤凰谷,位于,曲靖
咪依噜风情谷,位于,楚雄
红河东仰风情园,位于,红河
花涧里,位于,玉溪
大槟榔园,位于,玉溪
凤庆小湾电站百里长湖,位于,临沧
昆明动物园,位于,昆明
大姚县核桃博物馆,位于,楚雄
徐霞客纪念馆,位于,昆明
龙安新马温泉,位于,德宏
普洱太阳河森林公园,位于,普洱
热带花卉园,位于,西双版纳
昆明市非物质文化遗产展示馆,位于,五华
腾冲历史文化主题街区,位于,保山
施甸石瓢温泉,位于,保山
无量山樱花谷,位于,大理
西盟县佤族博物馆,位于,西盟县
景亢傣族风情村,位于,临沧
富和山,位于,怒江
云南肯公聪奔茶马古道文化博物馆,位于,迪庆
千古情景区,位于,丽江
拉市海湿地公园,位于,玉龙县
西南联大蒙自分校纪念馆,位于,红河
会泽海湖旅游度假区,位于,曲靖
剑川木雕艺术小镇,位于,大理
彝和园,位于,楚雄
梁河南甸宣抚司署,位于,德宏
华宁象鼻温泉,位于,玉溪
架街生态旅游区,位于,文山
香格里拉印经院景区,位于,迪庆
李家山青铜器馆,位于,玉溪
碧云寺,位于,玉溪
凤庆石洞寺,位于,临沧
哈尼梯田文化博物馆,位于,红河
大研花巷,位于,丽江
花果山森林公园,位于,临沧
瑞丽独树成林景区,位于,德宏
抗战胜利纪堂博物馆,位于,五华
花香酒谷景区,位于,昭通
昔归故里,位于,临沧
南腊河康养度假营地,位于,西双版纳
万溪冲,位于,昆明
沾益区博物馆,位于,曲靖
红河泸西青龙山,位于,红河哈尼族
本地服务,位于,昆明
青普白沙行馆,位于,丽江
国立西南联合大学蒙自分校纪念馆,位于,红河
博物馆街区,位于,保山
聂耳故居纪念馆,位于,玉溪
双江大浪坝景区,位于,临沧
白马雪山国家公园,位于,迪庆
昆明官渡海东湿地,位于,昆明
中共地下党党建党旧址,位于,五华
七彩云南欢乐世界,位于,昆明
罗平森林公园,位于,曲靖
红军长征过丽江纪念馆,位于,玉龙县
蒙自市清韵紫陶博物馆,位于,红河
陇川户撒佛祖花园,位于,德宏
玉柱擎天景区,位于,丽江
国际电音狂欢节,位于,红河
弥渡县博物馆,位于,弥渡县
迪庆红军长征博物馆,位于,迪庆
麒麟水乡,位于,曲靖
临沧微电影博物馆,位于,临沧
昭通市博物馆,位于,昭通
昆明梵高星空艺术馆,位于,昆明
大理州非物质文化遗产博物馆,位于,大理
畹町特色小镇,位于,瑞丽
好运研究所,位于,昆明
西南联大旧址,位于,昆明
昆明失恋博物馆,位于,昆明
聂耳纪念馆,位于,昆明
甸溪河,位于,红河
王复生、王德三烈士纪念馆,位于,祥云县
勐焕大金塔,位于,德宏
黄龙潭公园,位于,大理
未来也来公园,位于,昆明
耿马孟定芒团景区,位于,临沧
那色峰海,位于,曲靖
普洱市博物馆,位于,思茅
昆明融创海世界,位于,昆明
哈尼历史文化博物馆,位于,红河
和成临沧生态文化创意产业园,位于,临沧
倚象山汽车营地,位于,普洱
普达措景区,位于,迪庆
告庄西双景,位于,西双版纳
才村,位于,大理
石龙坝水电博物馆,位于,昆明
石林石海温泉,位于,昆明
飞来寺,位于,富民县
花果山欢乐谷,位于,玉溪
红河建水朝阳楼,位于,红河
浦在廷故居,位于,曲靖
临沧市博物馆,位于,临沧
茨中教堂,位于,迪庆
澜沧县老达保景区,位于,普洱
玉水寨景区,位于,丽江
查姆湖风景区,位于,楚雄
洛龙公园,位于,昆明
罗平九龙瀑布,位于,曲靖
喜洲古镇,位于,大理
临沧边合区,位于,临沧
永仁方山,位于,楚雄
红军长征博物馆,位于,迪庆
新平磨盘山,位于,玉溪
石林彝族自治县喀斯特地质科研博物馆,位于,石林县
宜良山后樱花谷,位于,宜良县
瑞丽珠宝翡翠博物馆,位于,德宏
大理红桃传习馆,位于,大理
昭璞绿道,位于,昭通
五老山森林公园,位于,临沧
云象潘茂野趣帐篷营地,位于,昆明
石林景区,位于,昆明
昆明经典假日谷,位于,昆明
云南铁路博物馆,位于,昆明
景谷佛迹仙踪芒玉峡谷康体旅游区,位于,普洱
巍宝山,位于,大理
双廊艺术小镇文化旅游区,位于,大理
会泽大海草山,位于,曲靖
马过河,位于,曲靖
云南民族村,位于,昆明
火山景区,位于,保山
老君山黎明景区,位于,丽江
巍山县东莲花旅游区,位于,大理
中华普洱茶博览苑,位于,普洱
元谋红军长征纪念馆,位于,楚雄
易武茶文化博物馆,位于,西双版纳
克依黑,位于,曲靖
腾冲玛御谷景区,位于,腾冲
昌宁鸡飞温泉,位于,保山
明星鱼洞景区,位于,玉溪
洱海,位于,大理
大禧城,位于,大理
翠湖讲武堂,位于,昆明
世博园,位于,昆明
南河人工湖,位于,临沧
凤庆鲁史古镇,位于,临沧
杨善洲精神教育基地,位于,保山
密祉镇,位于,大理
云南零海拔潜水抚仙湖明星景鱼洞区潜水店,位于,玉溪
云南解放纪念馆,位于,五华
映月潭修闲文化中心,位于,玉溪
芒市三台山乡德昂族博物馆,位于,德宏
土林无量塔,位于,大理
朱家花园,位于,红河
安宁温泉小镇房车营地,位于,昆明
王九龄旧居纪念馆,位于,五华
丽江金茂璞修雪山酒店,位于,丽江
迪庆德钦弦子传习馆,位于,迪庆
云南师范大学西南联大,位于,五华
万亩桔园,位于,玉溪
云南精楷明清家具博物馆,位于,昆明
彝良罗炳辉将军纪念馆,位于,昭通
腾冲樱花谷景区,位于,腾冲
姚安县博物馆,位于,楚雄
寻甸凤龙湾小镇,位于,昆明
长水机场百事特贵宾厅,位于,昆明
蓝月山谷,位于,迪庆
超级恋爱工厂,位于,昆明
云南李家山青铜器博物馆,位于,玉溪
甸溪河,位于,弥勒
迪庆州博物馆,位于,迪庆
普洱市图书馆,位于,思茅
湖泉生态园,位于,红河
滴水苗城特色小镇,位于,红河
禄充景区,位于,玉溪
古生村,位于,大理
大理普陀泉温泉,位于,大理
龙王塘公园,位于,保山
云南美术馆,位于,昆明
禄丰黑井古镇,位于,楚雄
建塘锅庄传习馆,位于,迪庆
会泽县唐继尧故居博物馆,位于,曲靖
星云湖,位于,玉溪
昆明市晋宁区博物馆,位于,晋宁
渔洞名樱旅游度假区,位于,昭通
玉溪青花街,位于,玉溪
罗平县博物馆,位于,曲靖
抗日战争纪念馆,位于,保山
腾冲博物馆,位于,保山
通海县博物馆,位于,玉溪
周城,位于,大理
西游洞,位于,昆明
九龙池公园,位于,玉溪
寒武纪小镇,位于,玉溪
博尚碗窑七彩陶瓷文化景区,位于,临沧
杜鹃王古木博览园,位于,保山
昆明西山风景区,位于,昆明
奥特曼宇宙之光,位于,昆明
新平哀牢山,位于,玉溪
花之城,位于,盘龙
曲硐特色小镇,位于,大理
昆明市郊野公园,位于,昆明
凤龙湾国际旅游度假区,位于,昆明
仙人山,位于,镇康县
绥江金沙水上乐园,位于,昭通
红坡寺,位于,迪庆
丽江古城,位于,丽江
玉龙纳西族自治县白沙壁画博物馆,位于,丽江
陆良县博物馆,位于,曲靖
莫里热带雨林,位于,德宏
星河温泉小镇,位于,昆明
澄江国家地质公园,位于,玉溪
盈江国家湿地公园,位于,德宏
紫陶街,位于,建水县
傈僳音乐小镇,位于,怒江
小山峡桃源谷,位于,昭通
普洱民族团结园,位于,普洱
大理海洋世界,位于,大理
玄天幻境,位于,文山
砚山县梦幻大世界,位于,砚山县
新岐古镇,位于,腾冲
句町欢乐世界,位于,广南县
琴淮庄园,位于,新平县
近水镇,位于,丘北县
龙马山景区,位于,红塔
斯贝佳,位于,红塔
勐福景区,位于,腾冲
滇铜古镇,位于,玉溪
鑫和园,位于,腾冲
弘园山庄,位于,隆阳
手抄纸博物馆,位于,腾冲
龙川江漂流,位于,腾冲
清河茶旅小镇,位于,腾冲
